pattern,seed,fastest_label,length,mean,std,min_val,max_val,range,fraction_unique,duplicates_ratio,sortedness_score,runs_count,runs_fraction,time_quick,time_merge,time_heap
reverse_sorted,101,merge,100,50.5,28.86607004772212,1,100,99,1.0,0.0,0.0,100,1.0,8.330098353326321e-07,6.67001586407423e-07,1.4580145943909883e-06
reverse_sorted,999,merge,100,50.5,28.86607004772212,1,100,99,1.0,0.0,0.0,100,1.0,7.920025382190943e-07,6.250047590583563e-07,1.4170072972774506e-06
reverse_sorted,1234,merge,100,50.5,28.86607004772212,1,100,99,1.0,0.0,0.0,100,1.0,7.920025382190943e-07,6.250047590583563e-07,1.4169781934469938e-06
reverse_sorted,5678,merge,100,50.5,28.86607004772212,1,100,99,1.0,0.0,0.0,100,1.0,8.329807315021753e-07,6.250047590583563e-07,1.4169781934469938e-06
few_unique,42,quick,100,4.76,3.2469062197729093,0,10,10,0.11,0.89,0.494949494949495,51,0.51,9.170034900307655e-07,1.2920063454657793e-06,1.3750104699283838e-06
few_unique,101,quick,100,5.2,3.146426544510455,0,10,10,0.11,0.89,0.494949494949495,51,0.51,8.750066626816988e-07,1.2500095181167126e-06,1.3750104699283838e-06
few_unique,999,quick,100,4.95,3.4216224221851252,0,10,10,0.11,0.89,0.5151515151515151,49,0.49,8.750066626816988e-07,1.2500095181167126e-06,1.333013642579317e-06
few_unique,1234,quick,100,4.64,3.4453446852238168,0,10,10,0.11,0.89,0.46464646464646464,54,0.54,8.750066626816988e-07,1.2500095181167126e-06,1.334003172814846e-06
few_unique,5678,quick,100,5.4,2.767670500619609,0,10,10,0.11,0.89,0.5858585858585859,42,0.42,9.170034900307655e-07,1.2500095181167126e-06,1.4170072972774506e-06
sorted_runs,42,quick,100,6827.66,3557.1788350320544,1086,13873,12787,1.0,0.0,0.9595959595959596,5,0.05,9.170034900307655e-07,1.0840012691915035e-06,1.4590041246265173e-06
sorted_runs,101,quick,100,7176.24,2988.992372422519,1311,14427,13116,1.0,0.0,0.9494949494949495,6,0.06,9.160139597952366e-07,1.2080126907676458e-06,1.4170072972774506e-06
sorted_runs,999,quick,100,6510.8,3668.5793789967256,1046,13900,12854,1.0,0.0,0.9595959595959596,5,0.05,8.750066626816988e-07,1.2499804142862558e-06,1.4170072972774506e-06
sorted_runs,1234,quick,100,5309.58,3223.609905618234,363,12542,12179,0.99,0.010000000000000009,0.9494949494949495,6,0.06,9.579816833138466e-07,1.1249794624745846e-06,1.4999823179095984e-06
sorted_runs,5678,quick,100,8935.97,2383.3413287022067,3774,13738,9964,0.99,0.010000000000000009,0.9494949494949495,6,0.06,8.750066626816988e-07,1.167005393654108e-06,1.4580145943909883e-06
random,42,quick,500,48775.518,29521.053807777185,74,99943,99869,0.994,0.006000000000000005,0.46292585170340683,269,0.538,3.1669915188103914e-06,7.3750270530581474e-06,6.082991603761911e-06
random,101,quick,500,50474.132,29684.714474263958,339,99997,99658,0.996,0.0040000000000000036,0.5050100200400801,248,0.496,3.1669915188103914e-06,7.499998901039362e-06,5.292007699608803e-06
random,999,quick,500,49455.986,28558.029843702523,480,99430,98950,0.996,0.0040000000000000036,0.503006012024048,249,0.498,3.249995643272996e-06,7.499998901039362e-06,5.542009603232145e-06
random,1234,quick,500,49930.704,28562.421946823488,223,99994,99771,1.0,0.0,0.47695390781563124,262,0.524,3.0410010367631912e-06,7.208000170066953e-06,5.707988748326898e-06
random,5678,quick,500,52571.694,28216.5390342679,402,99842,99440,1.0,0.0,0.5150300601202404,243,0.486,3.1249946914613247e-06,6.916990969330072e-06,5.084002623334527e-06
nearly_sorted,42,quick,500,249.5,144.33727862198316,0,499,499,1.0,0.0,0.9118236472945892,45,0.09,1.6250123735517263e-06,3.875000402331352e-06,5.582987796515226e-06
nearly_sorted,101,quick,500,249.5,144.33727862198316,0,499,499,1.0,0.0,0.9118236472945892,45,0.09,1.8750142771750689e-06,4.750007065013051e-06,6.082991603761911e-06
nearly_sorted,999,quick,500,249.5,144.33727862198316,0,499,499,1.0,0.0,0.9098196392785571,46,0.092,1.8750142771750689e-06,4.792003892362118e-06,6.167014362290502e-06
nearly_sorted,1234,quick,500,249.5,144.33727862198316,0,499,499,1.0,0.0,0.9078156312625251,47,0.094,1.7920101527124643e-06,4.3749751057475805e-06,6.457994459196925e-06
nearly_sorted,5678,quick,500,249.5,144.33727862198316,0,499,499,1.0,0.0,0.905811623246493,48,0.096,1.8329883459955454e-06,4.499976057559252e-06,5.791982403025031e-06
reverse_sorted,42,merge,500,250.5,144.33727862198316,1,500,499,1.0,0.0,0.0,500,1.0,2.208020305261016e-06,8.750066626816988e-07,5.0000089686363935e-06
reverse_sorted,101,merge,500,250.5,144.33727862198316,1,500,499,1.0,0.0,0.0,500,1.0,2.4590117391198874e-06,9.590003173798323e-07,5.292007699608803e-06
reverse_sorted,999,merge,500,250.5,144.33727862198316,1,500,499,1.0,0.0,0.0,500,1.0,2.4589826352894306e-06,9.580107871443033e-07,5.3340045269578695e-06
reverse_sorted,1234,merge,500,250.5,144.33727862198316,1,500,499,1.0,0.0,0.0,500,1.0,2.4589826352894306e-06,1.00000761449337e-06,5.417008651420474e-06
reverse_sorted,5678,merge,500,250.5,144.33727862198316,1,500,499,1.0,0.0,0.0,500,1.0,2.4579931050539017e-06,1.00000761449337e-06,5.333975423127413e-06
few_unique,42,quick,500,4.856,3.210492797064027,0,10,10,0.022,0.978,0.5150300601202404,243,0.486,2.1249870769679546e-06,6.124988431110978e-06,4.792003892362118e-06
few_unique,101,quick,500,4.918,3.2055071361642606,0,10,10,0.022,0.978,0.5470941883767535,227,0.454,2.1250161807984114e-06,6.333022611215711e-06,5.207984941080213e-06
few_unique,999,quick,500,4.962,3.1762487308143865,0,10,10,0.022,0.978,0.5410821643286573,230,0.46,2.1250161807984114e-06,6.749993190169334e-06,5.084002623334527e-06
few_unique,1234,quick,500,5.126,3.1550156893429233,0,10,10,0.022,0.978,0.5230460921843687,239,0.478,2.2920139599591494e-06,6.166985258460045e-06,5.165988113731146e-06
few_unique,5678,quick,500,5.26,3.0919896506941935,0,10,10,0.022,0.978,0.5751503006012024,213,0.426,2.209009835496545e-06,6.165995728224516e-06,5.04200579598546e-06
sorted_runs,42,quick,500,6051.15,2400.2712345691266,1621,12133,10512,0.97,0.030000000000000027,0.9899799599198397,6,0.012,2.7919886633753777e-06,3.1669915188103914e-06,5.249981768429279e-06
sorted_runs,101,quick,500,9418.612,2809.0222579139527,3238,14536,11298,0.974,0.026000000000000023,0.9939879759519038,4,0.008,2.500019036233425e-06,2.916989615187049e-06,5.082983989268541e-06
sorted_runs,999,quick,500,8947.978,3399.8101966898093,1431,14890,13459,0.986,0.014000000000000012,0.9899799599198397,6,0.012,2.3329921532422304e-06,2.8339854907244444e-06,5.291018169373274e-06
sorted_runs,1234,quick,500,7161.278,2666.249410823376,612,12147,11535,0.972,0.028000000000000025,0.9919839679358717,5,0.01,2.4999899324029684e-06,2.9579969123005867e-06,6.250018486753106e-06
sorted_runs,5678,quick,500,7389.968,3481.8450009981775,809,14394,13585,0.98,0.020000000000000018,0.9919839679358717,5,0.01,2.2909953258931637e-06,2.707995008677244e-06,5.04200579598546e-06
random,42,quick,1000,50676.264,28991.226312598505,53,99943,99890,0.994,0.006000000000000005,0.4804804804804805,520,0.52,5.62501372769475e-06,1.4458986697718501e-05,1.1249998351559043e-05
random,101,quick,1000,49827.16,29460.723407316393,59,99997,99938,0.991,0.009000000000000008,0.4944944944944945,506,0.506,5.5419804994016886e-06,1.4791992725804448e-05,1.09999964479357e-05
random,999,quick,1000,47979.228,28906.54815234804,50,99657,99607,0.995,0.0050000000000000044,0.4974974974974975,503,0.503,6.500020390376449e-06,1.4959019608795643e-05,1.2208009138703346e-05
random,1234,quick,1000,50716.945,28451.53683901759,223,99994,99771,0.998,0.0020000000000000018,0.4824824824824825,518,0.518,5.833018803969026e-06,1.462499494664371e-05,1.0832998668774962e-05
random,5678,quick,1000,50436.025,28642.89241522886,52,99942,99890,0.994,0.006000000000000005,0.5085085085085085,492,0.492,5.5419804994016886e-06,1.487502595409751e-05,1.1249998351559043e-05
nearly_sorted,42,quick,1000,499.5,288.6749902572095,0,999,999,1.0,0.0,0.9079079079079079,93,0.093,3.082997864112258e-06,9.25001222640276e-06,1.1625001206994057e-05
nearly_sorted,101,quick,1000,499.5,288.6749902572095,0,999,999,1.0,0.0,0.9079079079079079,93,0.093,3.082997864112258e-06,1.0125018889084458e-05,1.1666998034343123e-05
nearly_sorted,999,quick,1000,499.5,288.6749902572095,0,999,999,1.0,0.0,0.9059059059059059,95,0.095,3.167020622640848e-06,1.0249990737065673e-05,1.1958996765315533e-05
nearly_sorted,1234,quick,1000,499.5,288.6749902572095,0,999,999,1.0,0.0,0.908908908908909,92,0.092,3.3329997677356005e-06,1.0374991688877344e-05,1.18750031106174e-05
nearly_sorted,5678,quick,1000,499.5,288.6749902572095,0,999,999,1.0,0.0,0.9069069069069069,94,0.094,3.2919924706220627e-06,1.0499992640689015e-05,1.1666998034343123e-05
reverse_sorted,42,merge,1000,500.5,288.6749902572095,1,1000,999,1.0,0.0,0.0,1000,1.0,5.5000127758830786e-06,1.4170072972774506e-06,1.1209020158275962e-05
reverse_sorted,101,merge,1000,500.5,288.6749902572095,1,1000,999,1.0,0.0,0.0,1000,1.0,4.708010237663984e-06,1.2909877113997936e-06,1.0375020792707801e-05
reverse_sorted,999,merge,1000,500.5,288.6749902572095,1,1000,999,1.0,0.0,0.0,1000,1.0,4.7079811338335276e-06,1.2919772416353226e-06,1.0208983439952135e-05
reverse_sorted,1234,merge,1000,500.5,288.6749902572095,1,1000,999,1.0,0.0,0.0,1000,1.0,4.708010237663984e-06,1.2919772416353226e-06,1.0292016668245196e-05
reverse_sorted,5678,merge,1000,500.5,288.6749902572095,1,1000,999,1.0,0.0,0.0,1000,1.0,4.708010237663984e-06,1.2909877113997936e-06,1.0207993909716606e-05
few_unique,42,quick,1000,5.015,3.1519478104816394,0,10,10,0.011,0.989,0.5395395395395396,461,0.461,5.415990017354488e-06,1.4999997802078724e-05,1.3166980352252722e-05
few_unique,101,quick,1000,4.971,3.183733500153554,0,10,10,0.011,0.989,0.5435435435435435,457,0.457,3.916997229680419e-06,1.3542012311518192e-05,1.025001984089613e-05
few_unique,999,quick,1000,4.782,3.1595056575356844,0,10,10,0.011,0.989,0.5385385385385385,462,0.462,4.1669991333037615e-06,1.4291988918557763e-05,1.0499992640689015e-05
few_unique,1234,quick,1000,5.235,3.1559111204214867,0,10,10,0.011,0.989,0.5305305305305306,470,0.47,3.7910067476332188e-06,1.3707991456612945e-05,1.0457995813339949e-05
few_unique,5678,quick,1000,5.107,3.167893779784922,0,10,10,0.011,0.989,0.5675675675675675,433,0.433,3.708992153406143e-06,1.3457989552989602e-05,1.0207993909716606e-05
sorted_runs,42,quick,1000,7453.678,2673.0010969537593,1828,12725,10897,0.96,0.040000000000000036,0.993993993993994,7,0.007,4.832982085645199e-06,5.292007699608803e-06,1.0792020475491881e-05
sorted_runs,101,quick,1000,6864.854,3433.5711894009128,864,13747,12883,0.955,0.04500000000000004,0.993993993993994,7,0.007,4.792003892362118e-06,6.667018169537187e-06,1.2040982255712152e-05
sorted_runs,999,quick,1000,5636.636,2770.8188016368013,798,12745,11947,0.96,0.040000000000000036,0.994994994994995,6,0.006,5.916983354836702e-06,6.124988431110978e-06,1.1916999937966466e-05
sorted_runs,1234,quick,1000,8576.86,1696.0387532129093,1302,12147,10845,0.925,0.07499999999999996,0.993993993993994,7,0.007,5.5419804994016886e-06,7.541995728388429e-06,1.2082979083061218e-05
sorted_runs,5678,quick,1000,6943.732,3158.0331233500387,518,13966,13448,0.962,0.038000000000000034,0.993993993993994,7,0.007,4.5000051613897085e-06,6.457994459196925e-06,1.1125026503577828e-05
random,42,quick,2500,50679.568,28704.48702731641,53,99991,99938,0.9884,0.011600000000000055,0.4909963985594238,1273,0.5092,1.6125006368383765e-05,4.2041996493935585e-05,3.3374992199242115e-05
random,101,quick,2500,50106.4064,28913.19550204783,18,99997,99979,0.986,0.014000000000000012,0.5006002400960384,1249,0.4996,2.0917010260745883e-05,4.545898991636932e-05,3.5541015677154064e-05
random,999,quick,2500,48553.0552,28966.692494659328,50,99903,99853,0.9848,0.015199999999999991,0.4965986394557823,1259,0.5036,1.6292004147544503e-05,4.1040999349206686e-05,3.416600520722568e-05
random,1234,heap,2500,50267.3472,28368.99349906253,29,99994,99965,0.9888,0.011199999999999988,0.5014005602240896,1247,0.4988,3.616602043621242e-05,4.25000034738332e-05,3.3666001399978995e-05
random,5678,quick,2500,50022.3396,28890.676388389937,52,99942,99890,0.99,0.010000000000000009,0.5066026410564226,1234,0.4936,2.0792009308934212e-05,4.137499490752816e-05,3.300001844763756e-05
nearly_sorted,42,quick,2500,1249.5,721.6877787520029,0,2499,2499,1.0,0.0,0.912765106042417,219,0.0876,8.834002073854208e-06,3.183400258421898e-05,3.083399496972561e-05
nearly_sorted,101,quick,2500,1249.5,721.6877787520029,0,2499,2499,1.0,0.0,0.9067627050820328,234,0.0936,8.95801349543035e-06,3.258301876485348e-05,3.2208015909418464e-05
nearly_sorted,999,quick,2500,1249.5,721.6877787520029,0,2499,2499,1.0,0.0,0.9091636654661864,228,0.0912,8.916016668081284e-06,3.108300734311342e-05,3.183301305398345e-05
nearly_sorted,1234,quick,2500,1249.5,721.6877787520029,0,2499,2499,1.0,0.0,0.9087635054021609,229,0.0916,9.584007784724236e-06,3.2167008612304926e-05,3.1249976018443704e-05
nearly_sorted,5678,quick,2500,1249.5,721.6877787520029,0,2499,2499,1.0,0.0,0.9079631852741097,231,0.0924,9.125011274591088e-06,3.441699664108455e-05,3.487500362098217e-05
reverse_sorted,42,merge,2500,1250.5,721.6877787520029,1,2500,2499,1.0,0.0,0.0,2500,1.0,1.3291981304064393e-05,2.3329921532422304e-06,2.720800694078207e-05
reverse_sorted,101,merge,2500,1250.5,721.6877787520029,1,2500,2499,1.0,0.0,0.0,2500,1.0,1.4291988918557763e-05,2.4589826352894306e-06,2.8542010113596916e-05
reverse_sorted,999,merge,2500,1250.5,721.6877787520029,1,2500,2499,1.0,0.0,0.0,2500,1.0,1.4499993994832039e-05,2.6249908842146397e-06,3.112500417046249e-05
reverse_sorted,1234,merge,2500,1250.5,721.6877787520029,1,2500,2499,1.0,0.0,0.0,2500,1.0,1.304197940044105e-05,2.3339816834777594e-06,2.745899837464094e-05
reverse_sorted,5678,merge,2500,1250.5,721.6877787520029,1,2500,2499,1.0,0.0,0.0,2500,1.0,1.2999982573091984e-05,2.3329921532422304e-06,2.720800694078207e-05
few_unique,42,quick,2500,5.1284,3.1498433992819392,0,10,10,0.0044,0.9956,0.5426170468187275,1144,0.4576,9.957992006093264e-06,3.6874989746138453e-05,2.9166985768824816e-05
few_unique,101,quick,2500,4.9548,3.13687056793869,0,10,10,0.0044,0.9956,0.5434173669467787,1142,0.4568,1.0124989785254002e-05,3.8291997043415904e-05,2.9458984499797225e-05
few_unique,999,quick,2500,4.8664,3.184046331321201,0,10,10,0.0044,0.9956,0.5418167266906763,1146,0.4584,1.116600469686091e-05,4.429099499247968e-05,3.5999983083456755e-05
few_unique,1234,quick,2500,5.1052,3.170825280585482,0,10,10,0.0044,0.9956,0.5458183273309324,1136,0.4544,1.0041985660791397e-05,4.0166982216760516e-05,3.562498022802174e-05
few_unique,5678,quick,2500,5.0476,3.186680755896329,0,10,10,0.0044,0.9956,0.5526210484193678,1119,0.4476,9.792012860998511e-06,3.662498784251511e-05,2.8416980057954788e-05
sorted_runs,42,quick,2500,8040.0308,2937.6646408076194,1828,14029,12201,0.9016,0.09840000000000004,0.9975990396158463,7,0.0028,1.2125005014240742e-05,1.4417018974199891e-05,3.300001844763756e-05
sorted_runs,101,merge,2500,9511.9124,2781.301002898866,3211,14646,11435,0.884,0.11599999999999999,0.9979991996798719,6,0.0024,1.2667005648836493e-05,1.0791991371661425e-05,3.399999695830047e-05
sorted_runs,999,merge,2500,7435.3344,3444.3906267693624,961,14893,13932,0.9072,0.0928,0.9979991996798719,6,0.0024,1.3500015484169126e-05,1.18750031106174e-05,3.3791002351790667e-05
sorted_runs,1234,quick,2500,7604.7616,2870.801623095096,456,13697,13241,0.8816,0.11839999999999995,0.9979991996798719,6,0.0024,1.270900247618556e-05,1.291598891839385e-05,2.954198862425983e-05
sorted_runs,5678,quick,2500,8118.3172,2586.1742377079236,3266,14582,11316,0.8872,0.11280000000000001,0.9975990396158463,7,0.0028,1.270900247618556e-05,1.3417011359706521e-05,3.524997737258673e-05
random,42,quick,5000,50561.8804,28695.67200544528,53,99991,99938,0.9728,0.027200000000000002,0.4936987397479496,2532,0.5064,6.69579894747585e-05,0.00010483298683539033,8.91250092536211e-05
random,101,quick,5000,50463.2534,29033.61835264059,18,99997,99979,0.9766,0.023399999999999976,0.50250050010002,2488,0.4976,4.72499814350158e-05,9.566699736751616e-05,7.39170063752681e-05
random,999,quick,5000,48950.6668,28802.352620127713,50,99968,99918,0.9722,0.027800000000000047,0.499499899979996,2503,0.5006,4.8707996029406786e-05,9.812499047257006e-05,7.666699821129441e-05
random,1234,quick,5000,50107.9438,28698.889052279384,4,99994,99990,0.9764,0.023599999999999954,0.5003000600120024,2499,0.4998,5.549998604692519e-05,9.633300942368805e-05,7.712500519119203e-05
random,5678,heap,5000,49859.9862,28727.004931826945,52,99992,99940,0.9768,0.0232,0.5049009801960392,2476,0.4952,9.637500625103712e-05,0.00011608298518694937,7.416700827889144e-05
nearly_sorted,42,quick,5000,2499.5,1443.3756441065507,0,4999,4999,1.0,0.0,0.910382076415283,449,0.0898,2.1041982108727098e-05,8.183400495909154e-05,7.270899368450046e-05
nearly_sorted,101,quick,5000,2499.5,1443.3756441065507,0,4999,4999,1.0,0.0,0.9091818363672735,455,0.091,2.358300844207406e-05,7.516701589338481e-05,6.941601168364286e-05
nearly_sorted,999,quick,5000,2499.5,1443.3756441065507,0,4999,4999,1.0,0.0,0.9095819163832767,453,0.0906,2.2082997020334005e-05,7.95419909991324e-05,7.170898607000709e-05
nearly_sorted,1234,quick,5000,2499.5,1443.3756441065507,0,4999,4999,1.0,0.0,0.9085817163432687,458,0.0916,2.3290980607271194e-05,8.558298577554524e-05,6.795901572331786e-05
nearly_sorted,5678,quick,5000,2499.5,1443.3756441065507,0,4999,4999,1.0,0.0,0.9095819163832767,453,0.0906,2.270899130962789e-05,8.03329749032855e-05,6.824999582022429e-05
reverse_sorted,42,merge,5000,2500.5,1443.3756441065507,1,5000,4999,1.0,0.0,0.0,5000,1.0,2.8584006940945983e-05,4.875008016824722e-06,6.012499216012657e-05
reverse_sorted,101,merge,5000,2500.5,1443.3756441065507,1,5000,4999,1.0,0.0,0.0,5000,1.0,2.862501423805952e-05,4.875008016824722e-06,5.904200952500105e-05
reverse_sorted,999,merge,5000,2500.5,1443.3756441065507,1,5000,4999,1.0,0.0,0.0,5000,1.0,2.8416019631549716e-05,4.8330111894756556e-06,5.874998169019818e-05
reverse_sorted,1234,merge,5000,2500.5,1443.3756441065507,1,5000,4999,1.0,0.0,0.0,5000,1.0,2.8375012334436178e-05,4.792003892362118e-06,5.8833014918491244e-05
reverse_sorted,5678,merge,5000,2500.5,1443.3756441065507,1,5000,4999,1.0,0.0,0.0,5000,1.0,3.241701051592827e-05,6.08398113399744e-06,6.083300104364753e-05
few_unique,42,quick,5000,5.0776,3.1675823967183554,0,10,10,0.0022,0.9978,0.545509101820364,2273,0.4546,2.1458021365106106e-05,8.57090053614229e-05,6.666700937785208e-05
few_unique,101,quick,5000,4.9728,3.1396273919049693,0,10,10,0.0022,0.9978,0.5477095419083817,2262,0.4524,2.9666000045835972e-05,0.00010370797826908529,6.491600652225316e-05
few_unique,999,quick,5000,4.9344,3.1665275365927266,0,10,10,0.0022,0.9978,0.5443088617723545,2279,0.4558,2.3208005586639047e-05,8.81669984664768e-05,6.387499161064625e-05
few_unique,1234,quick,5000,5.0746,3.1864454867453795,0,10,10,0.0022,0.9978,0.5421084216843368,2290,0.458,2.649999805726111e-05,9.554199641570449e-05,7.087498670443892e-05
few_unique,5678,quick,5000,4.9914,3.154001591629275,0,10,10,0.0022,0.9978,0.5473094618923785,2264,0.4528,2.5083019863814116e-05,8.416597847826779e-05,6.404201849363744e-05
sorted_runs,42,quick,5000,5025.282,1976.5334124360256,963,10270,9307,0.727,0.273,0.998999799959992,6,0.0012,2.762500662356615e-05,2.7875008527189493e-05,8.512500789947808e-05
sorted_runs,101,merge,5000,6790.9824,2596.379336246967,1609,12603,10994,0.7638,0.23619999999999997,0.9987997599519904,7,0.0014,2.7250003768131137e-05,2.533398219384253e-05,7.283399463631213e-05
sorted_runs,999,merge,5000,5636.3758,2774.2084436780087,1038,12746,11708,0.7734,0.22660000000000002,0.998999799959992,6,0.0012,3.1333009246736765e-05,2.5582994567230344e-05,8.145900210365653e-05
sorted_runs,1234,merge,5000,8378.6054,3387.765207816333,806,14647,13841,0.8106,0.1894,0.9991998399679936,5,0.001,2.6249996153637767e-05,2.3667002096772194e-05,6.766599835827947e-05
sorted_runs,5678,quick,5000,7288.7722,2590.8555928702704,1090,14723,13633,0.7708,0.22919999999999996,0.9987997599519904,7,0.0014,2.6041001547127962e-05,2.7250003768131137e-05,7.312500383704901e-05
